LHD,Hospital name,Age ,Gender,"Overall, how would you rate the care you received while in hospital?",What was the best part of the care you received while in this hospital?,What most needs improving about the care you received from the hospital?
ARTBQW, Cassava Hospital,50+,Woman or female,Very good,PHYSIOS. MEDICOS. PERSONAL CARE. WELFARE OFFICER,GENERALLY I WAS WELL CARED FOR. AND TREATED WITH COMPASSION. PACKAGED MEALS NEEDS ATTENTION
OPIUSD, Blueberries Hospital,50+,Man or male,Good,CONSISTANT MONITORING,BETTER FOOD
KHZJDF, Kiwi Hospital,50+,Man or male,Good,I ONLY STAYEDXXXX  DAYS,PUBLIC DOES NOT COMPARE TO PRIVATE: I BELIEVE THERE WAS NO REAL TOP LEVEL MANAGEMENT IN THE PUBLIC HOSPITAL SYSTEM. THE HOSPITAL SEEMS TO JUST OPERATE WITH WHAT'S PROVIDED. THE FLOOR LEVEL STAFF PERFORM TO THEIR BEST ABILITY WITH WHATS PROVIDED-THE MEALS NEED A CLOSE OVERVIEW
QTYEWR, Quince Hospital,50+,Man or male,Very good,THE FRIENDLINESS OF THE STAFF,THE FOOD
KHZJDF, Kiwi Hospital,18-49,Woman or female,Very good,"THE MIDWIVES IN THE BIRTHING SUITE WERE VERY HELPFUL, CARING AND UNDERSTANDING OF THE SITUATION I WAS IN WITH MY BABY, THEY MADE THE STAY IN HOSPITAL A LOT EASIER TO DEAL WITH AS MY BABY WAS ONLY XXXX WEEKS GESTATION AND MY BLOOD PRESSURE WAS EXTREMELY HIGH AND WAS AFFECTING MY BABY.",NONE REALLY
QWRET, Olive Hospital,50+,Woman or female,Very good,THE QUALITY OF CARE PROVIDED,EVERYTHING WAS TO MY SATISFACTION
EWRTY, Yambean Hospital,50+,Man or male,Very good,VERY IMPRESSED WITH ALL STAFF & DRS DURING MY STAY IN HOSPITAL,
QESRRT, Water chestnut Hospital,50+,Man or male,Very good,"WHILE I RECEIVED GREAT CARE, I AM DEAF MY BROTHER/SISTER IS FILLING OUT THIS FORM AS HE/SHE TOOK ME TO THE HOSPITAL, STAY UNTIL THEY WERE READY TO PERFORM THE SURGERY TO MAKE ME FEEL SAFE & COMFORTABLE AND EXPLAIN WHAT THEY WRE DOING. (I AM UNABLE TO UNDERSTAND OR COMPLETE THIS FORM)",YOUR STAFF & DR XXXX WERE OUTSTANDING
OIUWEY, Chilli pepper Hospital,50+,Man or male,Good,"THE FACT THAT CARE WAS FREELY GIVEN BY COMPETENT AND SYMPATHETIC, BUT CLEARLY OVERWORKED, PROFESSIONAL STAFF",THE NUMBERS OF PROFESSIONALS - I GAINED THE IMPRESSION THAT OVERWORK RESULTED FROM THE HARDER YOU WORK THE MORE YOU ARE GIVEN TO DO.
BNAVSE, Celeriac Hospital,50+,Man or male,Good,"WELL. I'M FORTUNATE TO RECEIVE REASONABLY GOOD CARED BECAUSED I WAS THE ONLY PATIENT IN THE WARD, FOR AN OVERNIGHT STAY. PLEASE CONVEY MY APPRECIATION TO THE NURSES WHO LOOKED AFTER ME. THANK YOU",GOOD HEALTHY MEALS. FREE TV VIEWING. OVERALL SATISFACTION
QESRRT, Lotus root Hospital,50+,Woman or female,.,XXXX HOURS SUPERVISION OPPSITE TO THE XXXX DESK,SOMETIMES CHASE TO DOCTOR TO GET INFORMATION
VASRTY, Passionfruit Hospital,50+,Woman or female,Very good,BEING ATTENDED TO IMMEDIATELY ON PRESENTATION TO A & E. GREAT STAFF. WHO LISTENED AND DIAGNOSED. WONDERFUL THEATRE STAFF AND POST OP CARE. EXCELLENT TREATMENT. GREAT HOSPITAL CARE. SJSU STAFF WERE WONDERFUL TO,
OIUWEY, Tomato Hospital,50+,Woman or female,Good,THE NIGHT TREATMENT,A LITTLE BIT MORE CARE AND INTEREST
ARTBQW, Jackfruit Hospital,50+,Man or male,Very good,ALL DOCTORS & NURSES COULDN'T DO ENOUGH FOR ME,PROBABLY GET MORE STAFF THEY ARE RUN OFF THE FEET
KHZJDF, Chicory Hospital,50+,Woman or female,Very good,EXTRA. GOOD CARE BY DOCTORS & STAFF EXCELLENT. THANK YOU,
KHZJDF, Parsnip Hospital,18-49,Man or male,Good,"THE NURSING STAFF THAT ASSISTED ME IN GETTING PREPARED SEEMED VERY WELCOMING, FRIENDLY AND ORGANISED. I REALLY APPRECIATED THE ATMOSPHERE THAT WAS CREATED THROUGH THEIR PROFESSIONALISM AS THIS WAS MY FIRST OPERATION. I CAN ALSO REMEMBER SNIPPETS WHILST WAKING IN RECOVERY AND FEELING LOOKED AFTER WELL WHILST BEING AS VULNERABLE AS ONE IS WHEN WAKING FROM GENERAL ANAESTHESIA.","IN MY CASE THE DISCHARGE PROCESS SEEMED VERY UNORGANISED AND THE HOSPITAL STAFF WERE VERY UNCLEAR IN GUIDING ME THROUGH THE PROCESS. I WAS IN THE MORNING INFORMED WETHER I WOULD BE DISCHARGED AND IF SO AROUND WHAT TIME IN ORDER TO ORGANISE MY RELATIVES TO PICK ME UP. I WAS TOLD THAT I COULD BE DISCHARGED ""IF YOU WANT"". I ASKED A LITTLE LATER ANOTHER HOSPITAL STAFF MEMBER WHO INFORMED ME THAT THE DOCTOR AND RESIDENT ARE DOING THEIR ROUND AND WOULD GET TO ME AT SOME POINT. ONCE I WAS SEEN BY THE DOCTOR IT WAS NOT CLEAR TO ME THAT THE DISCHARGE PROCESS WAS COMPLETE AND I WAS ABLE TO MAKE ARRANGEMENTS. ALSO, I HAD ENQUIRED DURING MY DISCHARGE WETHER PAIN RELIEVE WOULD STILL BE REQUIRED AS I FELT UNABLE TO JUDGE DUE TO HAVING RECEIVED SAME DURING MY STAY. I WAS INFORMED THAT I SHOULD BE OK AND OVER THE COUNTER RELIEVE WOULD BE SUFFICIENT. UNFORTUNATELY IT WAS NOT SUFFICIENT AND I WAS IN PAIN THAT I WAS NOT ABLE TO MANAGE WITH RECOMMENDED DRUGS. I DID CALL THE HOSPITAL FROM HOME TO NO AVAIL"
QESRRT, Water chestnut Hospital,50+,Woman or female,Very good,ALL OF IT WAS VERY GOOD,AS ABOVE
QESRRT, Jicama Hospital,50+,Woman or female,Very good,PLEASANT DOCTOR'S AND NURSE'S ASSISTANCE IN CARING FOR ME/INJURY,FASTER ATTENTION TO RESPONDING TO PATIENT'S ENQUIRIES OR ASSISTANCE OR CALL FOR HELP
QERYUI, Tangerine Hospital,50+,Man or male,Very good,THE NURSES IN CARDIOLOGY,WAS NOT IN LONG ENOUGH BUT WAS EXCELLENT FOR THE TIME I WAS IN
QERYUI, Tangerine Hospital,50+,Man or male,Very good,THE NURSES WERE VERY CARING WITH MY HEARING IMPAIRMENT HELPING ME TO COMMUNICATE WITH THEM,DOCTORS COMMUNICATING WITH HEARING IMPAIRED PEOPLE WHO LIP READ WITH THEIR MASK ON
KHZJDF, Endive Hospital,50+,Man or male,Very good,HUMANE TREATMENT CARING STAFF GOOD HUMOUR,NIL
ARTBQW, Currant Hospital,50+,Woman or female,Very good,MY STAY IN HOSPITAL WAS VERY GOOD AND I WAS WELL LOOKED AFTER,
ARTBQW, Currant Hospital,50+,Man or male,Very good,"THEY KEPT ME ALIVE ! THE NURSES WERE EXCELLENT, INCREDIBLY GOOD AND ALWAYS THERE AND ALWAYS WILLING TO HELP. THE NURSES WERE THE BEST PART AND THEY ARE UNDERRATED 100%.","FOR ME , NOTHING, EVERYTHING I WENT THROUGH WAS GOOD, THE COMMUNICATION WAS GREAT THE NURSES ESPECIALLY WERE GREAT, AGAIN FOR ME EVERYTHING WAS GOOD"
MZNBSD, Sweet potato Hospital,50+,Man or male,Very good,EVERYONE THAT RUNDS XXXX HOSPITAL ARE TERRIFIC,
VASRTY, Jalapeno Hospital,50+,Man or male,Very good,ALL OF IT,NOTHING
MZNBSD, Gooseberry Hospital,50+,Woman or female,Very good,STAFF WERE REALLY KIND,WAITING TIME
KHZJDF, Radish Hospital,18-49,Woman or female,Very good,THE KINDNESS OF ALL NURSES AND DOCTORS AND ALSO THE CLEANERS AND FOOD HANDLERS,NIL
KHZJDF, Endive Hospital,50+,Woman or female,Very good,THE CARE AND ATTENTION GIVEN BY BOTH NURSES & DOCTORS,I HAVE NO COMPLAINTS ABOUT THE CARE GIVEN TO ME
ARTBQW, Raspberries Hospital,50+,Woman or female,Very good,STAFF WERE VERY EFFICIENT & KIND,"NOT SO MUCH CARE, BUT SANDWICHES"
RTUITO, Taro Hospital,50+,Woman or female,Very good,"PROFESSIONAL SERVICES OF COMPETENT DOCTORS, NURSES AND AUXILLARY STAFF WHEN I PRESENTED WITH A FRACTURED RADIUS",MORE STAFF SO THEY AREN'T IN A PERMANENT RUSH TO MANAGE THEIR TASKS. I HAD THE OPPORTUNITY TO GET HOME HELP UNDER A VOLUNTEER ACCIDENT INSURANCE POLICY BUT COULDN'T GET THROUGH TO THE MEDICAL STAFF THAT I NEEDED THIS RECOMMENDATION ON THE DISCHARGE PAPERS. THE YOUNG MEDICO COULDN'T GRASP THE CONCEPT. RESULT A VERY DIRTY HOUSE AS I COULDN'T MANAGE A BROOM OR VACCUUM
BNAVSE, Lemon Hospital,18-49,Woman or female,Very good,EVERYONE CARE. CLEAN. GOOD TREATMENT.  VERY NICE DOCTORS & NURSES.  I HAVE VERY NICE EXPERIENCE WHILE I WAS IN HOSPITAL. GOD BLESS ALL OF THE PEOPLE HELPED ME,EVERYTHING & EVERYONE WAS GOOD TO ME
KHZJDF, Date Hospital,18-49,Woman or female,Neither good nor poor,"THE BIRTHING SUITES WERE LOVELY, THE MIDWIVES AND DOCTORS WERE GREAT",I WAS ADMITTED AT XXXX PM AND WAS NOT LOOKED AT UNTIL XXXXTHAT NIGHT. I WAS SUPPOSED TO BE INDUCED AT XXXXPM. I WAS DISCHARGED WITH A CATHETER STILL IN AND HAD TO WALK OUT HOLDING THE BAG PAST EVERYONE IN EMERGENCY DEPT. NEEDED A DIFFERENT WAY OUT FOR PEOPLE THAT HAVE JUST GIVEN BIRTH. NEEDS TO BE PRIVATE ROOMS IN MATERNITY
VASRTY, Jalapeno Hospital,50+,Man or male,Very good,THE STAFF WERE SO PLEASANT AND ACCOMMODATING AND SO COMPETENT AND PROFESSIONAL. THIS WAS THE BEST HOSPITAL EXPERIENCE I HAVE EVER HAD.,CAN'T THINK OF ANYTHING.
QWRET, Olive Hospital,50+,Man or male,Very good,"THE HEALTH PROFESSIONALS, DID ALL THEY COULD TO TREAT MY SYMPTOMS BUT WEREN'T ABLE TO DISCOVER THE REASON FOR THE SYMPTOMS BUT DID TREAT THEM TO ALEVIATE THE PAIN",THE FIRST VISIT IN EMERGENCY I WAS SENT HOME AS DR'S COULDN'T FIND A PROBLEM BUT NEXT DAY I COLLAPSED AT HOME THEN TAKEN BY AMBULANCE AGAIN BUT THIS TIME ADMITTED INTO INTENSIVE CARE FOR XXXX DAYS LEAVING AFTER XXXX DAYS OF TREATMENT
QERYUI, Durian Hospital,50+,Woman or female,Neither good nor poor,MOST NURSES WERE VERY CARING,THE NEED OF MORE NURSES WHO ARE INTERESTED IN THEIR CAREER
KHZJDF,,50+,"Prefer to use a different
term",Good,THE STAFF INCLUDING 90% OF THE DOCTORS WERE VERY FRIENDLY & VERY UNDERSTANDING. THEY HAD MY BEST INTEREST AS A PRIORITY,CULTURAL AWARENESS & SENSITIVITY WAS COMPLETELY LACKING IN ONE INTERN DOC. I DON'T WANT TO BE A DOBBER BUT HIM/HER NAME WAS DR XXXX XXXX - HE/SHE MADE ME CRY!!
MZNBSD, Blackberries Hospital,50+,Man or male,Very good,AVAILABILITY CARE,
OPIUSD, Ugli fruit Hospital,50+,Man or male,Good,DOCTORS SOCIAL WORKERS ARE PROFESSIONAL AND CARING.,"HOPE NURSE COULD RESPOND RELATIVELY FASTER WHEN PATIENT BUZZ THE BELL, RATHER 10-15MIN, UNDERSTAND EVERYONE WAS BUSY"
KHZJDF, Strawberry Hospital,50+,Woman or female,Very good,DR. XXXX,VERY LITTLE
KHZJDF, Parsnip Hospital,18-49,Man or male,Very good,FRIENDLY STAFF,NOTHING
OPIUSD, Watermelon Hospital,50+,Woman or female,Good,"THE SOCIAL WORKER & AGE CARE STAFF ARE VERY FRIENDLY, INFORMATIVES AND HELPFUL",MORE DOCTORS AND NURSING STAFF
MZNBSD, Sweet potato Hospital,50+,Woman or female,Very good,"EXPERIENCED, CHEERFUL NURSING STAFF, ALWAYS SMILING AND HELPFUL EVEN WHEN SHORT STAFFED",I WAS VERY HAPPY TO BE WELL LOOKED AFTER BY REHAB STAFF AS WELL AS THE MEDICAL STAFF
OIUWEY, Chilli pepper Hospital,50+,Man or male,Very poor,(1) XXXX-BRILLIANT. (2) XXXX-APPALLING/OLD GRUBBY. -3RD WORLD CONDITIONS. -SHOULD BE REPLACED WITH A FACILITY FROM THIS CENTURY,(1) SENT ON ARRIVAL TO DEMENTIA WARD. (2) ALL NIGHT SNORING AND ANOTHER PATIENT WITH AN IV DRIP ALARM WENT OF 18 TIMES IN 2 HOURS WHEN I STOPPED CARING. (3) STAFF MEETING/PARTY AT NURSES STATION ALL NIGHT SUPPORTED BY OTHER SCREAMS PATIENT. (4) ADIGED I WAS NOT TO BE REMOVED FOR XXXX DAYS/DISCHARGED SELF NEXT DAY. IE XXXX DAYS POST FETAL HIP REPLACEMENT
OIUWEY, Chilli pepper Hospital,50+,Woman or female,.,"HOSPITAL WAS UNDERSTAFFED, BUT EVERYONE DID THEIR BEST & CARED ABOUT YOU. STAFF WAS GREAT",HOSPITALS NEED MORE STAFF
KHZJDF, Lychee Hospital,50+,Man or male,Good,IN ED WHEN I WASN'T WITH IT,NONE
VASRTY, Okra Hospital,50+,Woman or female,Very good,"THE PROFESSIONAL AND CARING NATURE OF ALL THE HEALTH CARE PROFESSIONALS. ALSO THE HOSPITAL ITSELF HAD A FAR MORE FRIENDLY, RELAXED AND LESS HECTIC ATMOSPHERE THAN LARGER HOSPITALS I HAVE BEEN IN.",
ARTBQW, Currant Hospital,50+,Man or male,Very good,I WAS TREATED WELL BY NURSING STAFF STAFF DOCTORS AND OTHER STAFF FOLLOWING ADMISSION TO THE WARD,MORE STAFF. ADEQUATE NURSING NUMBER FOR A & E DOCTORS ON DUTY WITH THE INTERNS IT TOOK ONLY XXXX HOURS FOR MY ADMISSION WHILE SITTING IN WAITING ROOM WITH KIDNEY STONES OBS TAKEN XXXX TIMES? INTURN REQUIRED SUPERVISION TO TAKE BLOOD - ONE ON WARD PROFESSIONAL SERVICE
KHZJDF, Date Hospital,18-49,Woman or female,Very good,THE TEAM OF MIDWIVES WHO LOOKED AFTER ME WERE WONDERFUL. I FELT SO WELL CARED FOR,NOTHING FROM MY PERSPECTIVE. I WAS VERY HAPPY WITH THE CARE I RECEIVED
QERYUI, Durian Hospital,50+,Man or male,Very good,OXYGEN,NOTHING I CAN THINK OF
BNAVSE, Lemon Hospital,18-49,Woman or female,Good,WHEN I WAS IN VERY BAD PAIN   THE STAFF WAS HELPFUL  AND WHEN I BIRTH MY BABY,EVERY THINK WAS PERFECT ?
ARTBQW, Currant Hospital,50+,Man or male,Very good,"THE CARE I RECEIVED IN THE HOSPITAL WAS EXCELLENT. THE DOCTORS AND NURSES WERE PROFESSIONAL AND CARING. I WOULDN'T BE HERE TODAY IF IT WASN'T FOR THEIR EXPERTISE, ABILITIES AND CARE",NIL
VASRTY, Okra Hospital,50+,Woman or female,Neither good nor poor,,TO BE LISTENED TO. THE GENTLEMAN/LADY SHARING ROOM WAS ALLOWED TO HAVE THE LIGHTS OFF!
MZNBSD, Papaya Hospital,50+,Woman or female,Very good,I WAS HAPPY WITH THE CARE I RECEIVED,THE ONLY THING I DON'T LIKE IS SHARING ROOM'S WITH MEN
QWRET, Bamboo shoots Hospital,50+,Woman or female,Very poor,"FROM MY EXPERIENCE THE SERVICE WAS POOR THEY PUT INCORRECT INFORMATION IN THE DISCHARGE LETTER, IF SOMEONE NEEDS TESTS THEY ASKED TO BE DONE OUTPATIENT, THEY DON'T CARE ABOUT PATIENTS, HEALTH SYSTEM IS NOT LIKE BEFORE GET WORSE","LOTS OF THINGS NEEDS TO BE IMPROVED, DOCTORS KEEPS PATIENTS IN WAITING ROOM FOR LONG TIME SUFFERING WITH PAIN, EVEN IN ROOMS, SHORT STAFF. GIVES WRONG AND INCORRECT INFO, FOOD SHOULD RESPECT RELIGIOUS MEALS"
KHZJDF, Strawberry Hospital,50+,Man or male,Good,"THE ATTITUDE OF THE NURSES WAS FRIENDLY AND SUPPORTIVE I WAS TREATED RESPECTFULLY AND WITH FRIENDLY INTENT. *** WERE FREQUENT & LIGHT. MY MORALE WAS HIGH, I ENJOYED THE VISIT.","THE ATTITUDE OF THE DOCTORS-AT LEAST, THE BOSS DOCTOR, HIM/HER *** OF XXXX DOCTORS BECAME WITH WORK, NONE APPROACHABLE. IT TOOK A LONG TIME DAYS TO GET ONE OF THE XXXX DOCTORS TO CHANGE TO A DRUG I HAD USED TWICE XXXX TO CONDROL AN ASPECT WHICH WAS *** THEM, HE/SHE AGREED TO TRY IT, IT WORKED, AS I NEW IT WOULD AND CORRECTED A PROBLEM I HAD *** FOR SEVERAL DAYS I ADMIT THAT MANY PATIENTS HAVE LITTLE MEDICAL KNOWLEDGE, BUT SOME ACTUAL *** THAT WHICH IS WRONG WITH THEM AND KNOW SOMETHING. THE HEAD DOCTORS IN FACT TREATED ME AS BEING IGNORANT AND DID NOT LISTEN DESPITE MY XXXX YEARS WITHOUT PROBLEMS"
QWRET, Beetroot Hospital,50+,Woman or female,Very good,NURSES WERE VERY PATIENT AND KIND. THEY DID THEIR BEST TO COMMUNICATE AND CHEER ME.,"FOOD, MORE NURSING STAFF AS THEY ARE VERY BUSY."
QESRRT, Jicama Hospital,50+,Man or male,Very good,THE FIRST MED AFTER NOTHING FOR 24 HOURS,I WAS SUPPOSED TO HAVE A COLONSCOPY AT THE END OF XXXX. I STILL HAVE NOT HAD IT. (COVID 19)
MZNBSD, Gooseberry Hospital,50+,Man or male,Very good,I WAS ONY IN FOR ONE DAY JOB A HERNIA OPERATION-SO PROBABLY GOING HOME PRONTO,NOT QUALIFIED TO ANSWER DUE TO SHORTNESS OF STAY
LAUJSH, Grapes Hospital,50+,Man or male,Very good,OVERALL MY STAY WAS EXCELLENT A1,I DON'T KNOW IF ANYTHING NEEDS IMPROVING WITHOUT ME BEING POLITICAL ABOUT OVERTIRED NURSING STAFF
QWRET, Olive Hospital,50+,Man or male,Very good,I WAS LOOKED AFTER BY WAY NICE AND PROFESSIONAL NURSES,
RTUITO, Peach Hospital,50+,Man or male,Good,GETTING OUT,WAITING TIME FROM TRIAGE UNTIL SEEING A DOCTOR (APPROXIMATELY XXXX HOURS)
QTYEWR, Honeydew Melon Hospital,50+,Man or male,Very good,"I WAS TREATED PROMPTLY, NO WAIT TIME",I HAVE NOTHING TO OFFER AS MY TREATMENT WAS FAULTLESS
VASRTY, Jalapeno Hospital,50+,Woman or female,Very good,PERSONAL CARE. INSTRUCTIVE & SIMPLE. RESPONSIVE TO ANY QUESTIONS OR REQUESTS. KEPT FAMILY INFORMED OF UPDATE OR PROGRESS. CONTINUED ABOVE BY SELLING UP POST HOSPITAL RENALS PROGRAM,CANNOT THINK OF ANYTHING
ARTBQW, Zucchini Hospital,50+,Man or male,Very good,THE NURSES SHOWED CARE & COMPASSION KITCHEN STAFF & FOOD COURTEOUS & GOOD,NOTHING ABOUT MY CARE RECEIVED
QESRRT, Water chestnut Hospital,50+,Man or male,Very good,THE THOROUGHNESS OF THE STAFF.,"IN THIS CASE, NOTHING"
CVBHMI, Bean sprouts Hospital,50+,Man or male,Very good,"HAVING EXPERIENCED MANY HOSPITALS OVER MANY YEARS FOR THE MOST DISPARATE REASONS, XXXX IS MY CURRENT NUMBER ONE","GETTING RID OF THE PEOPLE'S CANCER, POLITICS, MORE MONEY FOR HEALTHCARE, BOTH WORKERS AND RECIPIENTS, SINCERELY YOURS. XXXX XXXX"
OPIUSD, Guava Hospital,50+,Woman or female,Very good,I WAS IMPRESSED BY THE TEAMS INTEREST IN ME AS AN INDIVIDUAL. EVERYONE ASSISTED ME TO ACHIEVE THE GOALS I SET MYSELF,NOT ONE ASPECT OF MY CARE COULD BE IMPROVED
VASRTY, Cantaloupe Hospital,50+,Man or male,Very good,THERE WAS A PLAN & A SCHEDULE THAT WAS KEPT TO. ORDER-MEAL REGULARITY,"THERE WAS A BIT OF CONFUSION OVER MY DISCHARGE TIME BECAUSE A DOCTOR WHO WANTED TOO SEE ME, BECAME UNAVAILABLE. MY SON/DAUGHTER COULD HAVE COME AN HOUR, EARLIER TO TAKE ME HOME, BUT HE/SHE WASN'T NOTIFIED"
MZNBSD, Squash Hospital,50+,Woman or female,Very good,ALWAYS CHECKING UP ON YOU. ALWAYS A FRIENDLY ATTITUDE,ABSOLUTELY NOTHING IT WAS ALWAYS A PROFESSIONAL MANNER: A GREAT JOKES. DR'S ALSO KEPT ME UPDATED WITH MY TREATMENT: MY STAY AT THE HOSPITAL WAS GREAT. 'P.S. I HAVE A SHAKING PROBLEM'
VASRTY, Jalapeno Hospital,50+,Woman or female,Neither good nor poor,THE ATTENTION AND HELP GIVEN BY ONE OF THE JUNIOR DOCTORS,"IT NEEDED IMPROVING THEN. I HAD A SHOULDER INJURY MADE WORSE BY ONE OF THE PHYSIOS. ALTHOUGH THEY KNEW OF THIS THERE WAS LITTLE ATTENTION GIVEN TO FIXING IT UNTIL THE DAY BEFORE I WAS DISCHARGED. I FELT I NEEDED A LOT MORE HELP FOR THIS, INSTEAD OF BEING SENTHOME TO DEAL WITH IT, KNOWING I LIVE ALONE."
RTUITO, Peach Hospital,50+,Woman or female,Very good,"TO BE GIVEN A BED AFTER WAITING IN A CHAIR FOR XXXX HOURS, AFTER BEING DROPPED THERE BY AMBULANCE. AFTER HITTING MY HEAD I HAD TO LIE DOWN","AFTER DR. SAID I COULD GO HOME, NO ONE LET MY HUSBAND/WIFE KNOW, TO COME & PICK ME UP. LUCKILY HE/SHE CAME UP TO SEE IF I COULD COME HOME, XXXX TIME THE XXXX DAY. I COULD HAVE GONE HOME AFTER XXXX THAT DAY"
MZNBSD, Gooseberry Hospital,50+,Woman or female,Very good,"IT WAS ALL A GOOD EXPERIENCE-IT WAS CARING, THEY MOSTLY HAD A GOOD ATTITUDE-I ENJOYED THE FOOD (SURPRISE, SURPRISE) & I WENT HOME HAPPY & IN A GOOD FRAME OF MIND",I CAN'T ANSWER THIS AS I DIDN'T EXPERIENCE ANY DRAMAS IN ANY AREAS OF MY STAY
KHZJDF, Chicory Hospital,50+,Man or male,Very good,THE NURSES WERE GREAT TO ME,
QERYUI, Daikon Hospital,50+,Man or male,Good,COMPASSION SHOWED ME BY NURSING AND PHYSIOLOGY STAFF.,
QERYUI, Tangerine Hospital,50+,Man or male,Very good,THE TREATMENT & RESPECT INVOLVED FAMILY/CARER,
QESRRT, Water chestnut Hospital,50+,Man or male,Very good,EVEYTHING WAS GOOD,EVERYTHING WAS GOOD
KHZJDF, Date Hospital,50+,Woman or female,Very good,"EXCELLENT NURSES, KITCHEN STAFF & DOMESTIC STAFF",I WAS IN A PRIVATE ROOM-BUT IN OTHER PARTS OF THE HOSPITAL BOTH MAN/WOMAN & MAN/WOMAN SHARE TOILET/SHOWER FACILITIES
KHZJDF, Strawberry Hospital,50+,Woman or female,Good,"THE CARE WAS GOOD ON MY BRIEF STAY IN HOSPITAL, BUT I WAS VERY IMPRESSED BY THE NEW ROOMS IN THE NEW WING OF XXXX HOSPITAL. THE BATHROOMS WERE A HUGE IMPROVEMENT ALSO",
QWRET, Orange Hospital,50+,Man or male,Good,I RECEIVED GOOD TREATMENT,NONE
VASRTY, Cantaloupe Hospital,50+,Woman or female,Poor,NONE,AS I WAS ONLY GIVEN TOWELS AND BED MADE AFTER I COMPLAINED AFTER BEING IN THE WARD AFTER XXXX DAYS. TO THIS USUAL IN XXXX HOSPITAL?
OIUWEY, Chilli pepper Hospital,50+,Woman or female,Very good,THE FOOD AND THE BED,GENERALLY IT WAS GOOD ESPECIALLY THE DAY STAFF A COUPLE OF THE NIGHT STAFF WERE A BIT SLACK AT TIMES
OIUWEY, Avocado Hospital,50+,Woman or female,Very good,"THE KINDNESS, CONSIDERATION & PROFESSIONALISM OF THE NURSES IN PARTICULAR & THE FRIENDLINESS OF ANYONE/ALL WHO CAME TO THE ROOM FOR WHATEVER REASON-MORE STAFF, LINEN CHANGES/TOWELS ETC",I COULD NOT FAULT THE CARE I RECEIVED FROM ANY MEMBER OF THE HOSPITAL STAFF
QWRET, Apricot Hospital,18-49,Woman or female,Very good,THINGS WERE DEALT WITH QUICKLY.,"CONSISTENCY WITH STAFF, INCLUDING THEIR KNOWLEDGE, ATTITUDE. SOME KNEW WHAT THEY WERE DOING, SOME DIDN'T. SOME WERE ENTHUSIASTIC ABOUT THEIR JOB, SOME NOT SO MUCH. A LOT OF THE NURSES WERE OVERWORKED AND TIRED SO LACKED ENTHUSIASM."
QTYEWR, Radicchio Hospital,50+,Woman or female,Good,"I DIDN'T HAVE ANY NASTY REMARKS, THE HOSPITAL I FEEL WAS LOVELY & CLEAN. THE FOOD PRESENTED LOVELY. MEALS WERE ALWAYS NICE. I DO FEEL THE DELAY WAS IN EMERGENCY WARD-XXXX FOR *** HAD TO HAVE *** TESTS GOT THEM XXXXPM & WAITED FOR DISCHARGE. ARRIVE HOSPITAL XXXXAM HOME XXXXPM FOR SCRIPTS","STAFF=SHOWERS DEPEND ON TIME ALLOCATED SOME PATIENTS TAKE MORE TIME=IF SLOW & HANDICAPPED MY STAY I WAS WELL CARED FOR - I COULD SHOWER MYSELF - I'M SLOW BUT CAN DO MOST THINGS REQUIRED, WHEN I DID NEED HELP - YOU WAIT DEPENDED ON TIME - SOME PATIENTS NEED SO MUCH ASSISTANCE & THIS DELAYS THE HELP FOR OTHERS WAITING"
QERYUI, Durian Hospital,50+,Woman or female,Very good,ALL STAFF VERY HELPFUL & ALL ARE WAS GIVEN TO ME,EVERYTHING WAS FINE I CANNOT SEE WHAT NEEDS IMPROVING
QERYUI, Tangerine Hospital,50+,Woman or female,Very good,"I WAS LITERALLY AGONIZING WHEN I ARRIVED TO THE EMERGENCY WITH GREAT DIFFICULTY OF BREATHING. I WAS TAKEN STRAIGHT IN THEN HAD BLOOD TESTS DONE. WITH THE RESULTS QUITE FAST, I WAS SENT TO A CT SCAN-THE SURGEON CAME WITH THE DOCTOR WITH CT SCAN RESULTS TO TELL ME I WAS HAVING AN EMERGENCY SURGERY IN XXXX HRS. THE EFFICIENCY OF THE WHOLE PROCESS STILL AMAZE ME. AND ALL THE STAFF WERE WONDERFUL!",I HAVE NOTHING BUT 'ABOVE AND BEYOND' PRAISE FOR ALL THE CARE I HAVE RECEIVED FROM THE 1ST DAY TO THE LAST. THE STAFF EVEN THOUGH VERY TIRED STILL HAD A SMILE ON THEIR FACES. A HUGE THANK YOU TO ALL!
ARTBQW, Jackfruit Hospital,50+,Man or male,Good,THAT SOME ONE CARED,NOT SURE
KHZJDF, Endive Hospital,50+,Man or male,Good,IT APPEARS AT THIS STAGE THAT THE DIAGNOSIS AND TREATMENT COULD BE CORRECT. ON XXXXI AM TO ATTEND XXXX UROLOGY CLINIC FOR A CYSTOSCOPY (SPECIAL ANAESTHETIC BECAUSE OF HEART CONDITION) TO ESTABLISH WHAT HAS BEEN FOUND IN 4 SECONDS,MINOR IMPROVEMENT ON ATTITUDE OF SOME NURSES. OTHERWISE VERY GOOD
KHZJDF, Lychee Hospital,50+,Man or male,Very good,PROBLEM FIXED,NIL COMMENT
OIUWEY, Pear Hospital,50+,Woman or female,Very good,THE CARE OF THE DOCTOR'S & NURSING STAFF WAS GREAT & VERY CARING ALL ROUND,
